date;mom;yoy;base_algo;base_mom
2022-06-01;92;92;58.12606827;4.309182777
2022-07-01;94;95.7;89.79986455;4.05063181
2022-08-01;102.1;96.7;107.9528521;4.135695078
2022-09-01;100.5;97.2;101.0466107;4.156373553
2022-10-01;102.2;97.4;91.95293548;4.247813772
2022-11-01;101.4;97;113.4076565;4.307283164
2022-12-01;103.4;97.4;99.16420481;4.453730792
2023-01-01;90.6;97.9;114.1935716;4.035080098
2023-02-01;98.6;95.5;84.39487045;3.978588976
2023-03-01;102.6;98.1;92.06516122;4.08203229
2023-04-01;96.5;101.6;121.0715772;3.939161159
2023-05-01;97.6;98.1;90.05710173;3.844621292
2023-06-01;94.7;98;56.96354691;3.640856363
2023-07-01;96;101.6;91.23666238;3.495222109
2023-08-01;101.5;100.8;108.8164749;3.54765044
2023-09-01;101.6;101.9;102.9664963;3.604412847
2023-10-01;103.6;103.6;95.26324116;3.73417171
2023-11-01;99.7;100.4;113.8612871;3.722969195
